gene_id,gene_symbol,gene_biotype,chr,start,end,strand,Sample1_dedup,Sample2_dedup,Sample3_dedup,Sample4_dedup,Sample5_dedup,Sample6_dedup,Sample7_dedup,Sample8_dedup,Sample9_dedup,Sample10_dedup
ENSG00000223181,Clec10a,snRNA,1,758233,758336,-,15,35,19,80,27,96,11,11,29,29
ENSG00000229905,Alox12,lncRNA,1,760911,761989,+,2417,2218,4686,3799,2152,8297,2430,2663,2324,3003
ENSG00000228327,Arvcf,transcribed_unprocessed_pseudogene,1,764723,774280,-,371,639,459,1054,837,1212,233,325,464,393
ENSG00000237491,Comt,lncRNA,1,778739,810066,+,3428,2664,3656,4345,3771,8247,2382,2493,2985,3193
ENSG00000285268,Rtca,transcribed_processed_pseudogene,1,781937,782050,+,808,699,935,1048,868,1606,1027,1164,758,913
ENSG00000177757,Dbt,lncRNA,1,817363,819842,+,564,635,420,822,690,1089,380,432,450,486
ENSG00000228794,Dazap2,lncRNA,1,825138,868835,+,5184,6043,6995,8074,5820,14637,7050,7758,6307,6272
ENSG00000297178,Mcts1,lncRNA,1,833098,835618,-,788,505,552,692,582,1301,680,653,513,536
ENSG00000297224,Rem1,lncRNA,1,850902,852130,-,92,97,87,180,125,278,27,24,51,59
ENSG00000230368,Rnf17,lncRNA,1,868052,877032,-,4,4,1,4,21,26,8,8,7,1
ENSG00000283040,Trappc10,transcribed_unprocessed_pseudogene,1,874529,877234,-,727,1557,1205,2323,1659,3077,1649,1996,1058,1143
ENSG00000225972,Ccm2,unprocessed_pseudogene,1,629062,629433,+,870,882,1014,1521,1024,2071,1029,1173,895,1073
ENSG00000225630,Tbrg4,unprocessed_pseudogene,1,629640,630683,+,838,1659,1566,2328,1649,3580,2372,2858,1295,1398
ENSG00000237973,Tmprss2,unprocessed_pseudogene,1,631074,632616,+,2001,6703,4209,8263,5664,14567,5362,6214,3544,5910
ENSG00000229344,Mx1,unprocessed_pseudogene,1,632757,633438,+,59,144,49,167,79,104,15,21,78,66
ENSG00000240409,Fap,unprocessed_pseudogene,1,633535,633741,+,22,36,8,40,39,72,15,15,13,23
ENSG00000248527,Gcg,unprocessed_pseudogene,1,633696,634376,+,16,9,9,39,1,6,32,27,4,58
ENSG00000198744,Ndufa9,unprocessed_pseudogene,1,634376,634922,+,1804,1560,2158,2288,1605,4516,2234,2293,1657,2056
ENSG00000230021,Egfl6,transcribed_processed_pseudogene,1,720024,720206,-,64,89,57,82,57,48,4,8,35,21
ENSG00000229376,Lck,processed_pseudogene,1,722092,724903,+,230,184,276,415,231,429,126,113,173,155
ENSG00000230092,Cttnbp2,transcribed_unprocessed_pseudogene,1,805799,810161,-,89,75,122,235,136,225,181,161,77,105
ENSG00000234711,Galnt1,unprocessed_pseudogene,1,873292,874349,+,1697,3443,2828,5019,3960,7626,2576,3167,2852,2513
ENSG00000207730,Mkrn2,miRNA,1,1167104,1167198,+,225,457,465,599,499,1066,384,421,305,361
ENSG00000223823,Pparg,lncRNA,1,1137017,1144056,+,235,581,561,456,335,1254,733,783,269,523
ENSG00000198976,Raf1,miRNA,1,1169005,1169087,+,247,1000,670,1591,1214,2120,778,1045,705,520
ENSG00000272141,Sep-01,lncRNA,1,1169357,1170343,+,339,252,285,469,298,510,217,238,237,255
ENSG00000186891,Pdgfb,protein_coding,1,1203508,1206592,-,523,831,902,1308,1110,3047,327,419,670,834
ENSG00000162571,Acvrl1,protein_coding,1,1173880,1197940,+,537,829,601,1058,965,2167,219,252,555,576
ENSG00000205231,Grasp,lncRNA,1,1173056,1179555,-,199,302,401,554,421,889,297,317,345,480
ENSG00000260179,Acvr1b,lncRNA,1,1249777,1251334,-,606,1549,1025,2196,1472,2837,1082,1435,917,1050
ENSG00000184163,Tom1l2,protein_coding,1,1242446,1246722,-,394,891,577,1113,871,1606,534,725,473,506
ENSG00000186827,Gpa33,protein_coding,1,1211326,1214153,-,4474,9022,7523,10301,5010,16125,7182,8503,5815,8396
ENSG00000078808,Zfp385a,protein_coding,1,1216887,1238870,-,483,510,569,905,648,1038,113,131,420,384
ENSG00000176022,Itga5,protein_coding,1,1232237,1235041,+,810,1633,2648,2015,2038,4037,628,718,981,1168
ENSG00000188290,Wdr77,protein_coding,1,998962,1000172,-,854,727,781,929,699,1602,1118,1108,656,850
ENSG00000187608,Adora3,protein_coding,1,1001138,1014540,+,7,7,11,25,7,39,4,5,8,11
ENSG00000303614,Atp5f1,lncRNA,1,1004058,1006442,-,5507,3735,5854,6513,4617,11395,6020,6034,4586,5479
ENSG00000231702,Sox9,processed_pseudogene,1,1008076,1008229,-,7161,4212,6659,6934,3494,9789,3205,3574,3758,5767
ENSG00000224969,Hnrnpd,lncRNA,1,1011997,1013193,-,4460,3773,5898,5808,3873,6809,7603,7772,3853,5186
ENSG00000188157,Dynlt1c,protein_coding,1,1020120,1056119,+,92,53,82,122,78,168,89,88,63,79
ENSG00000242590,C1d,lncRNA,1,1055033,1056116,+,893,702,919,986,928,2150,1119,1118,910,906
ENSG00000291156,Gm2a,lncRNA,1,1058461,1066464,+,1609,1821,1956,3573,1861,4855,875,845,1782,1618
ENSG00000273443,Krit1,lncRNA,1,1061267,1064278,-,561,915,739,1301,1136,1641,558,611,598,453
ENSG00000304119,Clcn4,lncRNA,1,1065634,1069347,-,2974,1973,2318,3089,2193,4050,1597,1749,1876,1753
ENSG00000304169,Grm6,lncRNA,1,1069213,1072933,+,1,0,1,3,3,23,10,11,0,1
ENSG00000131591,Sema4f,protein_coding,1,1081811,1116361,-,29,104,23,90,65,138,7,15,25,30
ENSG00000272512,Hk2,lncRNA,1,995966,998051,-,2653,6162,5537,5700,3183,7657,2959,3223,3217,4612
ENSG00000303623,Myo18a,lncRNA,1,1000715,1001068,+,1522,4056,2456,5407,3339,6091,2244,2948,2119,2078
ENSG00000217801,Sez6,transcribed_unprocessed_pseudogene,1,1063079,1069355,+,1,3,3,1,4,32,4,13,0,1
ENSG00000237330,Haao,protein_coding,1,1070967,1074306,-,9,9,14,53,13,50,10,12,11,13
ENSG00000285812,Cd52,lncRNA,1,1097585,1104598,+,762,396,570,1037,386,1167,102,99,751,695
ENSG00000160087,Abhd15,protein_coding,1,1253907,1274477,-,20,35,16,59,44,69,11,6,33,14
ENSG00000230415,Hoxb6,lncRNA,1,1274033,1280420,+,5,16,10,13,14,25,26,24,4,11
ENSG00000162572,Loxl3,protein_coding,1,1280436,1292029,+,117,188,112,362,216,474,30,55,142,93
ENSG00000175756,Btn1a1,protein_coding,1,1373729,1375521,-,3,9,3,3,7,9,6,5,6,17
ENSG00000107404,Kat2b,protein_coding,1,1335276,1349945,-,504,709,555,1111,832,1613,313,397,589,515
ENSG00000284372,Rab5b,miRNA,1,1339650,1339708,-,1140,2067,1545,3122,2383,4769,975,1249,1432,1360
ENSG00000304860,Dnmt3l,lncRNA,1,1348183,1362350,+,51,33,47,54,35,138,35,39,35,32
ENSG00000162576,Aire,protein_coding,1,1352689,1361777,-,3,19,15,34,20,38,23,20,6,11
ENSG00000169962,Icosl,protein_coding,1,1331280,1335314,+,130,266,241,592,288,784,340,379,209,287
ENSG00000131584,Spg7,protein_coding,1,1292376,1309609,-,1281,1971,1896,2902,2073,4264,1540,2036,1630,1736
ENSG00000278073,Sult5a1,miRNA,1,1296110,1296170,-,4,3,3,5,3,23,7,13,1,1
ENSG00000169972,Rpl13,protein_coding,1,1308567,1311677,+,24969,12605,23708,24334,17777,47026,23751,25041,16680,24562
ENSG00000127054,Chmp1a,protein_coding,1,1311585,1324687,-,2131,3048,2648,4217,3059,7572,3057,3767,2676,2876
ENSG00000240731,Rpa1,lncRNA,1,1317581,1318689,-,1427,2027,1650,3309,2180,4139,2270,2717,1528,1438
ENSG00000224051,Serpinf1,protein_coding,1,1324756,1328897,+,202,224,210,313,152,619,64,56,179,197
ENSG00000283712,Tubgcp3,miRNA,1,1312502,1312566,-,628,1048,909,1511,1182,1885,1168,1349,760,776
ENSG00000223663,Polr3d,processed_pseudogene,1,1378666,1379032,+,449,667,800,1021,717,1572,921,1022,541,753
ENSG00000221978,Tcf7,protein_coding,1,1385711,1399339,-,1698,1953,2194,2896,2659,4275,1359,1577,1874,1285
ENSG00000224870,Ddx3x,lncRNA,1,1399476,1402054,+,6062,13044,8007,16825,14007,19975,7179,8886,8985,5980
ENSG00000242485,Il12rb1,protein_coding,1,1401908,1407306,-,14,37,17,69,27,66,14,18,29,17
ENSG00000264293,Slc5a5,misc_RNA,1,1405460,1405752,-,18,31,16,31,34,74,22,26,13,17
ENSG00000301639,Kcnn3,lncRNA,1,1407358,1408306,+,4,6,5,17,17,22,6,6,11,15
ENSG00000272455,Usp32,lncRNA,1,1409096,1410618,+,380,730,551,1098,924,1463,325,410,571,398
ENSG00000215915,Car4,protein_coding,1,1449689,1470163,+,24,102,52,172,6,32,164,125,5,940
ENSG00000235098,Txnrd3,protein_coding,1,1415637,1421769,-,182,283,347,412,342,603,620,739,269,233
ENSG00000225905,Fasl,lncRNA,1,1420245,1423287,+,0,5,1,6,1,5,1,0,3,3
ENSG00000205116,Zfp512b,protein_coding,1,1425871,1430255,+,202,608,378,1023,619,874,611,848,392,300
ENSG00000225285,Dnajc5,lncRNA,1,1429194,1435625,-,2707,4403,3290,5531,4273,7252,2769,3537,3010,2630
ENSG00000179403,Tpd52l2,protein_coding,1,1434861,1442882,+,1561,1294,1756,2179,1631,3648,1483,1562,1415,1583
ENSG00000286989,Fmr1,lncRNA,1,1600182,1607327,+,695,1386,943,2047,1661,2223,886,988,922,795
ENSG00000160072,Bcl11a,protein_coding,1,1471756,1497848,+,595,525,401,882,446,1716,393,481,429,605
ENSG00000284740,Il4,transcribed_unprocessed_pseudogene,1,1503582,1509351,+,26,27,27,24,48,58,7,18,18,12
ENSG00000290916,Pxmp4,lncRNA,1,1503224,1509526,+,488,416,356,518,439,829,306,331,286,366
ENSG00000197785,Dlg3,protein_coding,1,1512147,1534686,+,733,1113,808,1593,1147,2405,899,1117,759,829
ENSG00000205090,Gnb1l,protein_coding,1,1534778,1540624,-,133,86,121,160,116,309,174,166,91,118
ENSG00000299413,Dbh,lncRNA,1,1539564,1592377,+,7,5,0,6,4,5,1,0,0,9
ENSG00000160075,Mmp11,protein_coding,1,1541673,1574884,-,473,499,353,685,583,1324,117,127,332,317
ENSG00000215014,Smarcb1,lncRNA,1,1574102,1577075,+,1887,1869,2147,3029,1971,4782,1903,1979,1799,1898
ENSG00000274481,Vpreb3,processed_pseudogene,1,1583510,1583909,-,5,6,8,9,4,11,3,0,1,7
ENSG00000306476,Hip1r,lncRNA,1,1909317,1910418,+,505,1152,849,1715,1273,2369,1354,1895,926,1107
ENSG00000169885,Nsun5,protein_coding,1,1915108,1917296,+,159,284,272,459,304,558,460,542,234,270
ENSG00000178821,Top1mt,protein_coding,1,1917589,1919329,-,184,263,320,438,407,748,360,394,259,356
ENSG00000187730,Hoxa10,protein_coding,1,2019329,2030758,+,810,1072,901,1771,1403,3871,883,1020,1115,1294
ENSG00000142609,Hoxa4,protein_coding,1,1921951,2003837,-,10,15,24,32,24,31,50,55,14,19
ENSG00000157933,Gm38393,protein_coding,1,2227388,2310213,+,0,19,0,39,32,14,10,1,4,1
ENSG00000295493,Mmp14,lncRNA,1,2300846,2301069,-,9902,10803,11533,17856,11886,24647,3996,5123,10167,8662
ENSG00000067606,Slc7a7,protein_coding,1,2050411,2185395,+,565,1241,1067,1545,977,3028,772,906,843,1002
ENSG00000308181,Oxa1l,lncRNA,1,2103345,2104917,-,1627,1788,2036,2455,1831,4355,2145,2176,1661,1846
ENSG00000271806,Heatr6,lncRNA,1,2141084,2145279,-,554,830,570,1153,739,1454,615,722,466,501
ENSG00000182873,Ccl3,lncRNA,1,2181794,2184389,-,129,121,130,187,162,287,47,26,80,200
ENSG00000162585,Wfdc18,protein_coding,1,2184461,2212720,-,10478,5325,8521,6976,2632,8285,3481,3173,5447,6979
ENSG00000304038,Icam4,lncRNA,1,2207046,2208854,+,0,0,0,0,0,0,0,0,0,0
ENSG00000234396,Ilf2,lncRNA,1,2212523,2220738,+,2590,2011,2499,3332,2433,5303,2892,3113,2313,2302
ENSG00000304143,Chtop,lncRNA,1,2212965,2214206,-,3319,3976,4157,5966,4411,7730,3380,3762,3526,3368
ENSG00000149527,Snapin,protein_coding,1,2425980,2505532,+,876,812,950,1225,987,2165,735,770,674,782
ENSG00000224387,S100a4,lncRNA,1,2492300,2493258,-,18,6,11,11,5,20,8,11,15,19
ENSG00000229393,S100a3,lncRNA,1,2493437,2494479,-,7,4,7,5,6,14,1,4,6,5
ENSG00000157881,S100a5,protein_coding,1,2508534,2526612,-,1,0,0,3,0,3,5,1,0,1
ENSG00000197921,S100a6,protein_coding,1,2528745,2530263,-,42557,16299,35366,26698,21375,49200,30605,28386,25461,30561
ENSG00000272449,Scn4a,lncRNA,1,2530064,2547878,+,1,4,0,5,1,9,4,1,0,0
ENSG00000238164,Icam2,lncRNA,1,2540861,2557059,-,63,54,46,75,59,190,43,42,54,66
ENSG00000307979,Mapk7,lncRNA,1,2550557,2552503,+,369,779,597,1151,757,1614,493,595,473,537
ENSG00000157873,Epn2,protein_coding,1,2554244,2565382,+,599,1109,864,1450,1243,2470,501,611,735,640
ENSG00000287356,B9d1,lncRNA,1,2314917,2323085,+,435,165,333,450,275,732,172,198,268,319
ENSG00000116151,Sec24b,protein_coding,1,2319208,2391707,-,920,1784,1335,2530,1721,3401,1132,1391,1048,1022
ENSG00000272161,N4bp3,lncRNA,1,2326201,2326693,-,557,748,1110,1312,876,2426,997,1156,800,934
ENSG00000295371,Rmnd5b,lncRNA,1,2385375,2388508,+,826,807,965,1116,884,1874,797,889,692,797
ENSG00000157916,Nhp2,protein_coding,1,2390670,2405444,+,3591,2105,3911,3940,2753,7248,4720,4857,2876,3931
ENSG00000157911,Vps9d1,protein_coding,1,2403964,2413797,-,362,519,462,857,561,1039,425,498,324,375
ENSG00000292993,Zfp276,lncRNA,1,2350414,2352820,-,128,404,283,629,521,645,312,407,237,208
ENSG00000269896,Mfsd10,transcribed_processed_pseudogene,1,2351644,2351857,-,1079,1342,1361,1878,1231,2886,1577,1778,916,1258
ENSG00000272420,Luzp1,lncRNA,1,2363061,2363628,-,1031,2120,1283,2675,1858,3520,1161,1478,1058,1069
ENSG00000197530,Slc13a2,protein_coding,1,1615434,1630610,+,61,150,48,156,3,39,125,110,15,297
ENSG00000189409,Kctd10,protein_coding,1,1631665,1635263,+,230,1947,1159,2735,1881,3778,919,1462,1228,865
ENSG00000248333,Poldip2,protein_coding,1,1635225,1659234,-,1274,1242,1524,1986,1458,3025,1769,1969,1319,1456
ENSG00000272004,Ift20,lncRNA,1,1659027,1662939,+,2094,967,1467,1577,1152,2602,1137,1035,1144,1459
ENSG00000189339,Col6a1,protein_coding,1,1659529,1693017,-,2683,5854,3158,6014,5742,11262,1244,1410,3154,2020
ENSG00000310190,Pcbp3,lncRNA,1,1692528,1701814,+,56,53,68,100,72,152,34,38,45,47
ENSG00000310238,Lgals9,lncRNA,1,1698620,1700731,-,3932,4501,5558,6989,3780,9036,4036,4202,4491,5482
ENSG00000215914,Araf,transcribed_unprocessed_pseudogene,1,1699942,1701782,+,1328,1701,1770,2808,2079,4202,1601,1818,1119,1364
ENSG00000008128,Cfp,protein_coding,1,1702379,1724482,-,791,666,568,1305,683,2078,173,168,548,681
ENSG00000293188,Timp1,lncRNA,1,1724194,1736519,+,866,580,818,994,575,1937,414,421,632,851
ENSG00000290854,Uxt,lncRNA,1,1724838,1745992,-,307,113,202,215,138,392,307,275,176,259
ENSG00000215790,Cnnm3,transcribed_unprocessed_pseudogene,1,1734690,1739557,-,518,844,555,1150,823,1580,477,548,528,470
ENSG00000227775,Lman2l,transcribed_processed_pseudogene,1,1735817,1737251,+,408,639,339,950,641,1477,231,264,354,333
ENSG00000008130,Mcm3ap,protein_coding,1,1751232,1780544,-,557,1098,660,1616,1230,2010,664,939,590,481
ENSG00000302550,Pcnt,lncRNA,1,1783129,1796057,+,477,843,487,1164,853,1282,901,1091,471,435
ENSG00000078369,Mxd1,protein_coding,1,1785285,1892292,-,1144,3062,2499,4038,1742,3602,1206,1581,1810,2724
ENSG00000231050,Gmcl1,lncRNA,1,1891175,1892835,+,815,1251,1069,1797,1374,2225,654,806,975,780
ENSG00000303984,Snrnp27,lncRNA,1,1891400,1891754,-,1922,491,1266,987,761,1895,846,793,913,984
ENSG00000272106,Oas1c,lncRNA,1,1613758,1615795,-,39,47,35,61,42,103,55,50,28,60
ENSG00000293187,Ocrl,lncRNA,1,1671990,1673411,+,404,622,527,820,678,1298,391,452,426,391
ENSG00000269737,Calm1,transcribed_processed_pseudogene,1,1673275,1674397,+,22020,20401,22246,27898,20058,43327,20392,21874,19120,19640
ENSG00000268575,Agpat3,lncRNA,1,1702736,1737688,-,1518,2027,1819,3075,2239,4632,1317,1625,1767,1591
ENSG00000130762,Slc26a3,protein_coding,1,3454550,3481127,+,6,78,23,110,12,29,108,138,0,483
ENSG00000272088,Sema6b,lncRNA,1,3487246,3487627,+,214,440,353,535,322,537,417,499,301,367
ENSG00000162591,Uhrf1,protein_coding,1,3487942,3611543,-,1180,1979,1116,3644,1754,3347,3052,3785,1025,1554
ENSG00000207776,Dpp9,miRNA,1,3560695,3560790,-,953,1975,1331,2935,1874,4055,1244,1561,1143,1253
ENSG00000177133,Ramp2,lncRNA,1,3059564,3070251,-,257,171,131,282,184,600,91,87,200,182
ENSG00000142611,Lsr,protein_coding,1,3069168,3438621,+,368,2641,1774,3832,2248,5469,1477,2095,1785,1866
ENSG00000283572,Gramd1a,miRNA,1,3127975,3128035,+,969,1549,1498,2686,1760,3469,529,582,865,1206
ENSG00000226286,Hpn,lncRNA,1,3132927,3133709,-,273,354,444,628,449,572,237,278,288,457
ENSG00000306427,Ckb,lncRNA,1,3161276,3167152,-,1791,3091,1473,2394,1411,3180,960,1035,1371,2565
ENSG00000279839,Sp1,TEC,1,3205988,3208664,+,1100,2134,1411,2976,2331,4442,1456,1740,1377,1256
ENSG00000306439,Itgb7,lncRNA,1,3211011,3213146,-,149,242,155,509,165,488,55,65,215,180
ENSG00000272235,Myg1,lncRNA,1,3306636,3310096,-,742,522,714,980,628,1623,840,834,553,771
ENSG00000287828,Rarg,lncRNA,1,3312741,3323149,-,786,1236,1274,1648,1296,2745,475,546,913,828
ENSG00000286518,Pfdn5,lncRNA,1,3367815,3373928,-,3208,927,2667,2297,1572,5213,2008,1856,2044,2696
ENSG00000157870,Efnb2,protein_coding,1,2586491,2591470,+,575,1299,771,1936,2049,2280,682,861,981,910
ENSG00000142606,Rrp15,protein_coding,1,2590639,2633016,-,487,449,642,714,446,1282,1079,1062,493,644
ENSG00000237058,Rnd2,lncRNA,1,2628688,2636624,+,243,208,226,246,240,294,103,147,127,128
ENSG00000158109,Srr,protein_coding,1,3624979,3630131,+,127,235,124,264,208,399,120,133,139,125
ENSG00000309127,Sync,lncRNA,1,3619643,3622906,+,9,23,22,34,18,53,18,34,19,15
ENSG00000238260,Fndc5,lncRNA,1,3620739,3624787,-,195,131,213,166,114,560,29,45,176,133
ENSG00000198912,Acp5,protein_coding,1,3889125,3900293,-,1257,1514,1163,2179,1305,2845,814,857,1320,1813
ENSG00000236423,Cnn1,lncRNA,1,3900187,3917547,+,545,296,528,671,279,766,266,275,210,2520
ENSG00000116198,Fbxo9,protein_coding,1,3812086,3857723,-,474,649,663,998,733,1513,725,825,539,717
ENSG00000169598,Vps50,protein_coding,1,3857267,3885429,+,563,765,617,1096,822,1507,586,705,593,579
ENSG00000116213,Hars,protein_coding,1,3630767,3652761,-,1474,1535,1769,2207,1618,3631,1978,2099,1414,1665
ENSG00000078900,Zmat2,protein_coding,1,3652516,3736201,+,2158,2069,2437,2984,2109,5000,2161,2179,2170,2479
ENSG00000227589,Ube2c,lncRNA,1,3658938,3668772,-,2690,1411,2101,2068,1743,3081,3292,3254,1975,2603
ENSG00000235131,Smg5,lncRNA,1,3712200,3714298,-,1046,1876,1574,3081,2238,3151,1775,2322,1397,1546
ENSG00000293478,Cct3,lncRNA,1,3735511,3747373,-,5104,5065,6531,8922,5953,15968,7273,7964,5050,6351
ENSG00000227372,Glmp,transcribed_unitary_pseudogene,1,3738434,3746742,-,2672,3431,3458,4164,2826,7290,1359,1564,2600,2834
ENSG00000162592,Mef2d,protein_coding,1,3746460,3771645,+,499,1910,1483,2620,1702,3172,1140,1415,847,1052
ENSG00000296834,Tmem79,lncRNA,1,3750341,3752342,-,97,660,491,861,527,1228,446,595,437,362
ENSG00000235169,Snd1,protein_coding,1,3772655,3776709,+,2984,5197,4302,7244,4805,12456,3644,4309,3425,3862
ENSG00000130764,Col18a1,protein_coding,1,3778559,3796511,-,5747,11586,5957,13999,15119,28381,1726,2235,6966,4150
ENSG00000276189,Slc19a1,misc_RNA,1,3736943,3737103,+,227,374,364,645,397,961,969,1165,314,421
ENSG00000266075,Kpnb1,misc_RNA,1,3782815,3783111,+,3892,8028,5339,11949,7777,14896,6817,8613,5403,5279
ENSG00000272153,Npepps,lncRNA,1,3785008,3785538,+,4672,3665,3902,3971,3079,8254,3122,3126,2867,3762
ENSG00000284668,Tbx21,lncRNA,1,3976133,4093062,+,3,1,8,15,3,16,4,0,5,7
ENSG00000284703,Mrpl10,lncRNA,1,4012921,4019843,-,789,821,1022,1514,1080,2577,968,1118,834,1079
ENSG00000296871,Cyp51,lncRNA,1,4043675,4046929,-,2045,3686,3510,5328,4365,6719,3314,3679,3025,3187
ENSG00000131697,Tcf25,protein_coding,1,5862804,5993455,-,3586,5582,5163,7429,5430,10229,4458,5233,3800,4079
